index,code,description,type,encodedPolyline,latitude,longitude
79,NLGRQ00000,Groningen,4,omycImifg@uFjDa\_U_C}Hi@maBhDsD`\v}@|g@rHbm@oXhUsa@~BzKgRza@sq@xs@cc@tP,53.2196,6.59111
80,NLHAR00000,Harlingen,4,espcIqa~_@`a@}|@s@ub@}Ago@yOi_EkO{O}Da@wInk@}W`nBwr@_NkXkSyH|^nQ|Wjf@v\hUflA`Y`KhQvTkDrOzBxPdHdC,53.17443,5.40201
81,NLFRK00000,Franeker,4,azqcIckv`@nGnFfEil@tGukAkY_eAwIgo@aGyCwN`mANhYjXnbBpJbb@,53.18065,5.52642
82,NLLWR00000,Leeuwarden,4,m|rcImqfb@`JmEeKndAqr@faAiHlWeGcA{a@oc@`AoX`JeXvJ}m@jnAmP,53.18615,5.77319
83,NLLMR00000,Lemmer,4,g}saIoita@xkBtcAjbA{cHs`CmoA}n@lkH,52.86372,5.67976
84,NLSNK00000,Sneek,4,wxrbIejya@cO}W}U`|AmPbi@f_@jb@l_@oMpPc^jGiY_Jy~@gUkH,53.02172,5.70547
85,NLDRA00000,Drachten,4,oddcI}tzc@h]wBwNumFsImAw@jaCaZkb@sRzOcDlaBpp@n`@,53.11064,6.03999
86,NLEEM00000,Eemshaven,4,qtheIkmrh@rsAjb@~d@eu@tN}kEaMs^cb@cHqv@`gBq_@x}C,53.46137,6.81702
87,NLDZL00000,Delfzijl,4,u~kdIe_bi@xCccAo\{rBol@se@tVchByKyJe|@hcBxCvzAjrBbtC,53.31451,6.89667
88,NLVDM00000,Veendam,4,gincIsy`i@~qHc^v~@|x@sS~j@~mCvdAbl@cyA_bAi|AafEia@ktG`l@pAb^,53.1626,6.89066
89,NLMEP00000,Meppel,4,_yq`I{aqd@vDoOqh@ibCvHmj@sNuW{OuAs`AiCa@tE`FvVlTQjU`Vrb@`l@eVpd@xYn`@nOza@hQ`R,52.68896,6.1547
90,NLZWO00000,Zwolle,4,w{n_I}b~c@}InUi_@iCeGa]gs@m`AEuPz[se@fL}AzCwQfRuf@hIjDm`@hxAkTpGfYjSnv@bgA,52.5102,6.05759
91,NLARN00000,Arnhem,4,upg|H{{}b@wKm_@ne@owAx^q~@?knAjjAuu@fLfQv^}x@pMvIw`@loAoaBjiCaSny@aIxYa]ji@,51.98107,5.89262
92,NLOTH00000,Oosterhout,4,umfzH}yl\~Is@tDq_Bh\wB|YwQ?mT_FmE_wEum@}[re@}d@vX}UiKu@jZ_}B~oAhC~TxbAcWd`Aoy@p{@}b@f\mj@|p@vIiGthBrYhC_EagBpm@~M|Tl`A~FdkA,51.64779,4.82223
93,NLTLB00000,Tilburg,4,i_yyHmoa^hFhKjxAowAjdAxlA~LeI~ReuC_E{KksBl`AiZmj@_`AhCuIzZ~XzrB,51.57893,5.09191
94,NLEIN00000,Eindhoven,4,wq|xHcig`@`JbWwYx`CacCzwCe~@|_AoaAbAeyAuA?aVjyCiCvZaOfxA{yBpgAwbBjQm}AtCyJ,51.4334,5.4493
95,NLNWG00000,Nieuwegein,4,_cl|Hu_c^|C}x@oxBok@ghAzKT|[zqBnUhjAhh@,52.00448,5.09963
96,NLALK00000,Alkmaar,4,itd`Iafb\s@kSwf@iiA}gA}[gO|bClIb|@rNjnAp_@b^r[aOhi@y}C,52.62165,4.76785
97,NLBRD00000,Breda,4,ktbzHcqa\X{]he@zDbUYhKhChn@fo@d@mf@~XsKdU`VhKaZtFdEnV_Yt@f`@iXn\__Ad_@suA_d@}d@aG,51.62838,4.7645
98,NLBEV00000,Beverwijk,4,gwe_Immm[tGsZvC_FwTmLuf@_Fao@f}@n@hCfRXbHeMt^w\h`@r^,52.4634,4.66151
99,DEMAI00000,Mainz,4,mjlpHkv}p@vi@kDdx@giHveBqiD~{DuoHeYuu@chAdBgd@cjAaUa@_SvpBynDvwKow@fnFj@lxCdNoF,50.03959,8.1855
100,BEBGS00000,Brugge (Bruges),4,kprwHgkpRlHsDaZqwDaFkOmIjSgLtm@cNeTmc@xJed@bWtClTlu@b^rkAzfA,51.21814,3.20196
101,BEOST00000,Oostende (Ostend),4,}ftwHmw}Pf\|Sq]b{CiqAvBoRmj@xQuf@rtAq_B,51.22687,2.94279
102,BEZEE00000,Zeebrugge,4,qxcxH{epR_Dej@cRolAz_BosAwGo~AqmEfgCkfCa@i}@d_@aQzmDjDzw@jgAtaBhzB_z@f}CefC,51.30649,3.2011
103,NLWGW00000,Wageningen,4,web|Hgzla@nR_d@sBo~A{QhCsEny@if@iw@}E~MrFdf@fo@zfA,51.95372,5.64148
104,NLHRV00000,Heerenveen,4,k_gbIaq~b@uh@adCkjBjqDrJhYjl@Qn{AgeA,52.96134,5.89601
105,NLPAP00000,Papendrecht,4,}~h{Heou[t@{~CgQ}LgLviBzZbcA,51.82463,4.70275
106,BEZWL00000,Zwijndrecht,4,yre{Hwoa[x^otBi@as@sI}q@}JlE{TlgA}K~y@HfQpYj_A,51.80733,4.60044
107,NLHGS00000,Hardinxveld,4,qih{H_`q\fIQxFw`DyEqbAaN`KhBnxE,51.82121,4.84368
108,DEBRE00000,Bremen,4,}gfcIs`ct@r[fJ`|C{oFf}G{dSltAmbCwFaVyiAaqAaZuPux@vXq^pkCwv@lkHmu@nwA{kB`dCypA|zBm}@vg@itAn{E`ZtWx|@`],53.12143,8.70426
109,DEBRV00000,Bremerhaven,4,weqeI}a|r@|cAuaByB_{Kis@oaA{cGha@cbDlgDcu@lTqHf}@tmClsEjq@nr@dzAuqGrbAzKhvBdyG,53.50508,8.50479
110,DEKRE00000,Krefeld,4,mzkxHesrg@aG{R`PeXzf@y{A~|@ewBzf@bAtA|gAk`Ad_@ea@xjBiu@lj@,51.34775,6.65411
111,NLSTD00000,Stellendam,4,_xi{HmuqWkPoc@fJi~@lEgJ`n@_v@tYvFjQxd@wn@reCoD~EqTaZmEdM}IoF,51.82864,4.02791
